,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
653635,46.92521189340545,-1.4963933864503196,0.35807579786315136,-4.178984995300375,2.9281300158906827e-05,0.00846872842118372
100996442,43.37257994794228,-0.4914889301652458,0.18125657669030606,-2.7115646733470036,0.006696647603319635,0.059264929329738716
729737,32.07797129428726,-1.123439770293576,0.3516513982511408,-3.1947541681356912,0.0013994999338807958,0.025825065112814082
102723897,42.7858371675754,-1.3686590596485142,0.36574662618251164,-3.7420961990379045,0.00018249162544119136,0.01278316963296348
112268260,16.051021976503943,-0.0277314919426588,0.20570862890168634,-0.13480957065691407,0.8927624386287037,
100132287,26.66175605619034,-1.0182836075321389,0.3310405615026762,-3.0760085800661225,0.002097918080336137,0.03165988144982191
113219467,3571.0894316947874,1.2321460929049892,0.4494171031204582,2.741653765176655,0.0061130740967868125,0.05582223838211774
100133331,36.00075852912012,-0.9489579266812074,0.3436266811913791,-2.7615955879534737,0.005751967642367226,0.05400638089689152
100288069,25.16743055082174,-0.5244054263512185,0.22750257229494597,-2.3050527343987675,0.021163620173534455,0.11582643498091759
105378580,81.19763034604588,-0.10386724843682052,0.19580049134173058,-0.5304749121162369,0.5957826988359312,0.7830468988801006
79854,18.188501638756648,-0.6922830064858904,0.3432365679295708,-2.016926723926283,0.043703160763265074,
643837,199.98199790677347,-0.19231125389924694,0.15006565419383538,-1.281514114154623,0.2000131456284019,0.43164123137819976
26155,109.68416488286051,-0.47507357108148873,0.2528587346402494,-1.878810205063281,0.06027041311312224,0.21229500686897304
339451,18.017400739466016,-1.4305485380820806,0.5928715177371304,-2.412914932297966,0.015825512700158778,
57801,13.68464918745638,-2.5845303453071766,0.6866081408178416,-3.764199973260814,0.00016708313939919827,
375790,188.4570155221759,-1.4027735051887533,0.45830072763030305,-3.0608144840658578,0.002207358155125822,0.03254528863917512
105378948,15.758583966996857,0.06638525718133968,0.4041521537682699,0.16425808092910282,0.8695279799829791,
54991,21.654653506911743,-1.2200941193323402,0.4815737974921854,-2.533555865551715,0.011291174047377422,0.07878299239941411
51150,472.3466498331493,-0.4860304350155623,0.23283691967723624,-2.087428555958001,0.03684941291989201,0.16074193612156443
126792,12.498237930658512,-0.5319705067830999,0.4593237545456944,-1.1581602334267658,0.24679865320149985,
118424,70.95076683425567,-0.5267242615746924,0.21366321636426627,-2.465207959224485,0.013693375075341416,0.08824087504844136
101928895,22.327678011407507,-1.2993360694574296,0.44757065898856674,-2.903085900210052,0.003695052712830008,0.0429313295492243
