gene,coef_Intercept,coef_diagnosis,coef_age,pval_Intercept,pval_diagnosis,pval_age
'ENCODE_ID_6146',7.1359072019345575,0.04935047301003648,-0.009029999666761213,1.2031458673090411e-32,0.7243290553535733,0.029659730265558133
'ENCODE_ID_101928836',4.6753359935420535,-0.03815000865755713,0.010539461102412813,1.029442823007454e-22,0.8062369232540438,0.02278545269945322
'ENCODE_ID_10459',5.925916784381453,-0.4017857096135151,-0.014602840363048507,1.1577570063481797e-24,0.0270216904689902,0.006197144254624235
'ENCODE_ID_8863',9.192351473632172,-0.3258394059955106,-0.011089385500777166,4.423246963949858e-37,0.027230581279312858,0.010117261066639273
'ENCODE_ID_11123',6.159214884981318,-0.042824717264044354,-0.011569018060143228,7.349654687482083e-25,0.8139857673566118,0.032133881304707027
'ENCODE_ID_6007',4.949279022154653,0.08317753300522507,0.015995284347385348,1.273983068749091e-18,0.6902740307153983,0.010549828578476248
'ENCODE_ID_84301',8.581648714044949,-0.07625457916958644,-0.005972025227471412,3.6548879602480686e-44,0.41933476025254857,0.0324249573048843
'ENCODE_ID_51058',6.574264430266235,-0.23037162207150486,-0.013155544689956169,1.1650665801861768e-29,0.13027093725053326,0.003877724481217363
'ENCODE_ID_65108',6.065601775383682,-0.1639899970685505,-0.015439042715372558,6.1445029027541026e-24,0.38616394806693044,0.006555473522331713
'ENCODE_ID_3925',9.591865618996325,0.1477213835410216,-0.009687950462564562,2.3475534806131842e-36,0.3446348502100184,0.03565700932500693
'ENCODE_ID_22887',9.435534386093195,-0.07952854688041733,-0.010969411364708933,9.693546679810614e-40,0.5384972093100622,0.004904843038562682
'ENCODE_ID_81629',6.2029660668287,-0.11006573206413717,0.00970362699719797,4.5990754087083063e-29,0.4535277605763529,0.025804918363360685
'ENCODE_ID_149483',4.945882274700909,-0.29107506486840273,0.010428518149509854,1.554918540585563e-23,0.06883028441680034,0.02562813121874334
'ENCODE_ID_6202',6.893084345767086,-0.3352336589639041,-0.01473313435804419,8.447746031303642e-27,0.0724560458881431,0.007589373189344921
'ENCODE_ID_6491',6.2088834963829225,-0.05617253734230432,-0.01238777304300107,8.302653615745029e-26,0.747303646506094,0.017228125954587434
'ENCODE_ID_79654',7.822682645976905,-0.7212613045585965,-0.014687904791719601,1.3503811102313347e-28,0.000376365308870744,0.009708577651119857
'ENCODE_ID_11124',8.811712929306125,-0.17296657868249277,-0.00841706698187179,1.4630134031290473e-39,0.15929159658505937,0.020193063127644333
'ENCODE_ID_3652',5.75529006442974,-0.18196778843581518,0.00827800155621358,5.199651535687758e-32,0.12316497254237938,0.017315389760732332
'ENCODE_ID_84251',10.157160299666533,0.12118223067308809,-0.008512229794270118,1.5904633249647372e-43,0.2946985485507036,0.013344140117544038
'ENCODE_ID_1733',4.620548761518956,0.11943768258837922,0.012126577712495827,4.634723175866162e-25,0.3783709467459747,0.0030929038882016023
'ENCODE_ID_7804',9.362645667455649,-0.3077244627299024,-0.01005876143466166,2.2751035854207829e-38,0.028804112796656386,0.014197534372012623
'ENCODE_ID_84950',7.782047589754912,0.21355571698424114,0.008626202247004226,2.656963925773782e-36,0.09641433381913017,0.02207983676162901
'ENCODE_ID_101927139',6.204671941902109,-0.1222993393676991,-0.012118280296295086,5.732266402082185e-25,0.5031571905425616,0.025341125787238735
'ENCODE_ID_54810',4.312160875207267,0.16874967959302317,0.01141012594226119,1.2180943524440067e-19,0.3262810039356785,0.024892191792159575
'ENCODE_ID_105378808',5.709603581889111,0.3542522249757957,0.014123471806029993,1.3217781193114765e-21,0.08457962596943913,0.019115997233757585
'ENCODE_ID_255631',10.662212788410507,-0.44173258048164266,-0.019536163248539913,2.1786721206517797e-29,0.07908327096321284,0.008596349002769243
'ENCODE_ID_1301',10.467660499836455,-0.2531134018351041,-0.013719890727820242,1.3127622511350112e-32,0.22182615811425896,0.024817444850984322
'ENCODE_ID_57489',8.824403940518879,0.3899627967066156,0.010900983710038496,1.3022881263353046e-35,0.01127584037648362,0.014177941884460359
'ENCODE_ID_51205',6.97917697285803,0.033954387513672635,0.014330405270074259,1.1353693127293755e-32,0.8037426905939216,0.0006687711844198121
'ENCODE_ID_343263',5.606868390519742,-0.16159932692973533,0.01437602265829933,4.413052838544219e-28,0.2495857632893887,0.0008038677026494747
'ENCODE_ID_7482',7.034657098454245,0.14849739955521835,0.011503436950871583,1.1280591839143384e-31,0.3082572752164009,0.0082853650545628
'ENCODE_ID_6566',5.692844908448651,0.09386708767140023,0.012228005442358168,4.826541754950104e-25,0.5736008250129727,0.01407166533677991
'ENCODE_ID_54460',7.0374174939286895,0.00446771269601326,-0.01102349314643588,6.276128772856619e-30,0.9775471348747495,0.019826909740801903
'ENCODE_ID_112268235',4.265009064986021,-0.16507191045968128,0.015654635218052354,5.380012815521291e-17,0.4074970375661374,0.008692852880736695
'ENCODE_ID_4853',6.99251278675179,-0.13020139409862352,-0.012399331240351249,4.317756393234755e-26,0.5015293379218846,0.03067340530956951
'ENCODE_ID_7062',4.908258752595944,0.2658891604336034,0.013655512164604765,3.214483147736182e-18,0.21338682922225993,0.02998702174671659
'ENCODE_ID_9181',8.852574625719631,-0.26114386113730825,-0.012831259643503339,5.3962175135604994e-34,0.11157028967613024,0.008371803255007984
'ENCODE_ID_55811',6.0540500030803415,-0.2612211388327522,0.013559135738594458,2.381401759958388e-21,0.2332414918955255,0.03545005621345433
'ENCODE_ID_5451',9.54684471672184,-0.11615644050616503,-0.008181341791906127,1.7132749537140816e-41,0.3338206313636206,0.021620255248874454
