,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000076351,40.08996051318018,0.2940365323680857,0.13567530923307128,2.1672073867395567,0.030219044403474418,0.0978838029384646
ENSG00000112584,364.4088133560759,-0.22841344377599415,0.13526930004639284,-1.6885830243644049,0.09129936609469877,0.2114536553371849
ENSG00000110536,22.79421971329862,-0.297992454659693,0.13090033063362488,-2.2764835903565435,0.022817081656976906,0.08005681051682623
ENSG00000260641,11.529948550479832,-0.07169686099170508,0.19888139239278163,-0.36050059851807087,0.7184728091203111,0.8302041474143618
ENSG00000007541,110.32767801589141,0.030888774798305065,0.15062535588677586,0.20507021952880206,0.8375172633285901,0.9069230820988844
ENSG00000277053,34.190757759460645,0.34835915348386415,0.09613097194088861,3.6237972679405743,0.00029030918973885797,0.003353252019483647
ENSG00000206120,65.60365909284351,-0.2756701241642526,0.17163065488572685,-1.606182324176273,0.1082338558765006,0.2379508325680967
ENSG00000127884,198.15216742592548,0.05936635885055424,0.09724866819096903,0.6104593508054569,0.5415575627437591,0.6994601026183158
ENSG00000187068,37.77197546576002,0.1710559737809168,0.11144148424799015,1.5349398380253698,0.12479860667718884,0.2621290281724915
ENSG00000236816,70.93124733468665,0.6489664256643946,0.19513501710967215,3.325730231697238,0.0008818723531134262,0.007670996404120366
ENSG00000240024,50.2441972686511,0.08709850956144412,0.11424070694283252,0.7624122074544698,0.4458140226613194,0.6187411351385016
ENSG00000146242,76.66149179578365,-0.17073516962428667,0.20066864213814137,-0.8508313396905912,0.39486304982580667,0.572287099771967
ENSG00000275764,65.49973139444953,0.16241864292087999,0.12800374838301581,1.2688584902598876,0.20449153947589904,0.3681046270138438
ENSG00000163412,75.54196160928694,0.09393502327508824,0.09812141315927143,0.9573345944642296,0.33839839951420425,0.5167613944805564
ENSG00000173275,101.42608083849122,-0.5034265322248206,0.14412530726700146,-3.492978032596249,0.00047766580169530053,0.004822506129981622
ENSG00000137269,33.93489040395072,0.2475807829899,0.17571032059682531,1.409028121677522,0.15882685290145293,0.3094942918645971
ENSG00000111912,434.3630377714303,0.38414080110956467,0.08040497665871109,4.777574934697115,1.774219405329554e-06,6.799340568589823e-05
ENSG00000197580,82.6022575257841,-0.3253464754254647,0.12014512597899966,-2.7079456846408605,0.0067701101308343834,0.03355815067350152
ENSG00000183077,42.27072041867155,0.09577801070576182,0.122876670946355,0.7794645636808976,0.4357061041816839,0.6092737347839481
ENSG00000185565,927.1384158034455,0.11529464712573549,0.07489828273352565,1.5393496742232755,0.12371895302594808,0.2607352805294331
ENSG00000118689,199.52003566822236,0.2369013480199901,0.0836660330556593,2.8315116585292164,0.004632854461023489,0.025623837518876792
ENSG00000112759,67.96034994065764,-0.28651978092738584,0.12544071145813898,-2.284105196764615,0.022365349246298266,0.07886364590391098
ENSG00000068831,18.565605439859144,-0.32747490180280375,0.15517221173642035,-2.1103965596563214,0.03482421256188065,0.10780168994056606
ENSG00000110696,403.3759097212485,-0.0039319486915563705,0.06801641971550146,-0.057808815988887596,0.9539009157811845,0.9754554235536806
ENSG00000108179,32.40046993127155,-0.28313921059478797,0.12582563557467527,-2.250250589250947,0.024433042562709256,0.08430277808497193
ENSG00000181626,80.10035984261584,0.5243857907350696,0.19721231617255885,2.6589910859128962,0.007837503662223739,0.037291631958434476
ENSG00000228657,11.27802662560898,0.08668624407593165,0.19809873524061763,0.4375911030963399,0.6616827217650306,0.7911493426714905
ENSG00000056558,11.261934610252284,0.5711551765077915,0.24396827193719858,2.341104324642739,0.019226793750838845,0.07075746355302504
ENSG00000175224,199.68486044068172,-0.23409655571643634,0.11722136135657689,-1.9970468949284386,0.045820088973590564,0.1312471132654171
ENSG00000204314,49.85245185902319,0.5140381581762761,0.15877292873574086,3.2375680304533088,0.0012055319297437591,0.00964360520497826
ENSG00000100664,482.1071058614991,-0.2028312398520951,0.10521068737053182,-1.9278577578127822,0.05387282122523293,0.14659033491104775
ENSG00000182010,28.384384402945262,0.09223114322096582,0.17724916515883057,0.5203474055199004,0.6028214605234122,0.745534112827112
ENSG00000166206,604.9501590563084,-0.07537417704671952,0.08723933051591946,-0.8639930705676977,0.3875916971726848,0.564839585414964
ENSG00000099956,37.55163500004356,0.17681513636133092,0.15176778993910525,1.1650373009468977,0.24400389437256342,0.41666487519267276
ENSG00000182307,73.1762477994064,0.020185093921094986,0.09801483841635379,0.2059391643880637,0.8368384323306074,0.9066312321119067
ENSG00000166900,165.87589690820826,-0.11302013834932605,0.08971986962098179,-1.259700207175683,0.20777753063030002,0.372075144427266
ENSG00000127540,117.17163666823942,-0.31826749060968473,0.12101033961277341,-2.630085095439973,0.008536349781376667,0.03965004810760957
ENSG00000274422,1738.1318331193543,0.9637440554197438,0.2524476683750327,3.8175993528608045,0.0001347565266095897,0.0019217058136027163
ENSG00000049245,65.25939958687529,-0.10144437286627539,0.09076855949840265,-1.1176157628463919,0.2637311336365532,0.43802425552771
ENSG00000177842,22.57167942053643,0.26558065422094956,0.14699467580352304,1.8067365553833508,0.07080336511457155,0.1769010626708576
ENSG00000155368,59.36045586347929,-0.07362441805405123,0.17559779140379966,-0.41927872478046513,0.6750124432974993,0.8011152889001799
ENSG00000286835,15.634518601806,-0.170949498408733,0.17940895577133484,-0.9528481879500831,0.3406669948413279,0.5197440798777629
ENSG00000116212,21.29807592497332,0.015390766801390846,0.2047077951311086,0.07518407782924713,0.940068252547658,0.96735032850515
ENSG00000125520,12.578177167844766,0.7856182712658455,0.2432897264568567,3.2291469216854147,0.001241600904857083,0.00986826528399539
ENSG00000148429,30.54757101063121,-0.33087816425338723,0.13532258862077162,-2.4451066715893317,0.014480930479978229,0.05779512377517683
ENSG00000100226,53.72384204763358,0.5379245152654709,0.1586156892545775,3.3913701588630643,0.0006954410598396881,0.0064614334489230645
ENSG00000101974,36.425524469457685,0.5356999309269862,0.17837454905340394,3.003230751078742,0.002671298042986391,0.017239250482834364
ENSG00000188647,65.41366659753025,0.45703815019330724,0.14158096281662066,3.2281045495168366,0.0012461342102004468,0.009888398326101031
ENSG00000127863,10.23122962205985,-0.18301378286063547,0.23739213909047535,-0.7709344696998788,0.44074577452205144,0.6136614626439575
ENSG00000135387,160.11955698923765,-0.17117160364038148,0.09901609565773092,-1.728725037109831,0.08385831812813944,0.19892877737658926
ENSG00000139641,122.29813313628296,-0.37642294887484107,0.11743011048064993,-3.205506214156784,0.0013482513553295702,0.010502203181244608
ENSG00000285517,33.379280738032705,0.547121251196837,0.20100362767200083,2.7219471485839715,0.006489852067240658,0.03261639986758597
ENSG00000149531,21.785870320438665,-0.3656648669167532,0.1843966878038547,-1.9830338129810443,0.04736365274554404,0.13415781777485938
ENSG00000229321,97.56807037023549,0.3211109108475098,0.12834792795139727,2.501878417305716,0.012353634141817026,0.051599590924445445
ENSG00000196470,40.43252285763901,-0.03214218642942997,0.09447408544464993,-0.34022225542750867,0.7336891593974051,0.8392213422044512
ENSG00000110011,57.011407221343596,0.05537773575978726,0.1374309880545127,0.40294941150988006,0.6869854404781809,0.8090749676591679
ENSG00000284770,29.51781701069197,-0.16833409460109092,0.11135203550732257,-1.511728939970937,0.13060283324724845,0.2709175058488799
ENSG00000254470,69.46109072078484,-0.11754923876504432,0.1473803385945606,-0.7975910483447807,0.42510784744555974,0.5999518534539833
ENSG00000255435,11.236551012125771,0.34449513271585974,0.23772482255285143,1.4491340408478839,0.14730015321030074,0.29414414598922445
ENSG00000214413,112.64577900647873,-0.10119898679471767,0.1146489502868559,-0.8826856813037893,0.37740612060101975,0.5547623789002554
ENSG00000198804,15968.294526527672,1.486093860029428,0.22713320112817517,6.542829725676255,6.036554880986508e-11,2.322957785371896e-08
ENSG00000172594,25.42093527360676,-0.5107868899690329,0.19286039046748746,-2.648480015678189,0.008085462948515263,0.03817749155983122
ENSG00000148950,40.3228765528868,-0.15101421234082743,0.10320398427694176,-1.4632595185045352,0.1433963801957895,0.28899721031265435
ENSG00000240616,16.921146158480393,0.03046307818869044,0.1848009625517071,0.16484263809051808,0.8690678427421415,0.9258006978218037
ENSG00000076344,175.14393481648537,0.4940915606788574,0.16352255985322206,3.0215498162599355,0.0025148425552223323,0.01653996892971282
ENSG00000138709,309.6255387627801,0.4753996604974151,0.11418466640158467,4.163428203445865,3.1350463527035355e-05,0.0006257856319911997
ENSG00000100083,132.90938987299253,0.15941427153864113,0.12737464021255634,1.2515385423080974,0.21073806095667302,0.3755203871258461
ENSG00000106683,32.942361770564844,0.33405522251815684,0.14590692905954725,2.289508967609228,0.022049797471906385,0.07810378464433809
ENSG00000136754,230.1936411784049,0.11582876970637383,0.08377203531177652,1.3826662952056847,0.16676721111650006,0.31967487502505004
ENSG00000197355,65.85982618534015,-0.10477968924877443,0.1225047171408927,-0.8553114663190259,0.39237874139925144,0.5700234218525123
ENSG00000105443,63.67217193625752,0.0034667631827559635,0.10448445687998673,0.03317970238135964,0.9735312843627126,0.9853298346223641
ENSG00000105640,18.757785050434983,-0.3511722747651871,0.15658387875963425,-2.242710281204988,0.02491550321898519,0.0854781004489404
ENSG00000177301,385.00967288933634,0.09851328207768403,0.11238791675311537,0.8765469182429104,0.38073278174200875,0.5584105899936443
ENSG00000182983,38.38090879839561,0.03297657218429578,0.11959782368183938,0.27572886503371374,0.7827563236258095,0.8709920804415512
ENSG00000273203,18.490808469700944,-0.043477771621427255,0.22052251102784814,-0.19715797457039103,0.8437039165075909,0.9108955947968319
ENSG00000168228,20.477313962858076,-0.38362284119845663,0.15949359972048907,-2.4052553950174285,0.016161166939586837,0.062450825138356536
ENSG00000135951,198.6426527143725,0.25693551055865604,0.10074395275112354,2.5503814724580636,0.010760510638637547,0.04686905529563391
ENSG00000123178,96.37253387623801,-0.07725447168349865,0.1002273337570496,-0.7707924454097819,0.44082996581543543,0.6136614626439575
ENSG00000099821,67.95016395619831,0.0517652015291347,0.09944272612755686,0.5205529207107074,0.6026782530542194,0.745534112827112
ENSG00000124422,189.75437862112324,0.08531774433893743,0.08280190104725747,1.0303838832183827,0.3028298358528221,0.4807610035895102
ENSG00000236432,28.207553419874014,0.1887025479822173,0.13650676308306853,1.3823677576134894,0.1668588108029364,0.31972070004479397
ENSG00000154529,12.860897280303906,0.5445763386013003,0.2077800142083009,2.620927429792929,0.008769092645249131,0.04051805917713736
ENSG00000181215,184.73434098424374,0.037786263693597104,0.1377478722451661,0.2743146814372889,0.7838428029419446,0.8714504145997206
ENSG00000122912,107.91754781163851,-0.04177990003170914,0.088254077538382,-0.4734047558713524,0.6359244374847508,0.7719421730115088
