gene,coef_Intercept,coef_diagnosis,coef_age,coef_Treatment_Var,pval_Intercept,pval_diagnosis,pval_age,pval_Treatment_Var
'ENSG00000127540',7.74983373797104,-0.2932821493035393,-0.015496859932705748,0.2227530585828193,9.798918878559686e-205,0.005644422911268037,1.7677881517745294e-05,0.5141870806920346
'ENSG00000108179',6.225118063802899,-0.2577563484747272,-0.01183337202203626,0.04062254048677942,0.0,0.0030889783515680265,6.93778650292709e-05,0.6231466185352221
'ENSG00000218175',5.803240369078146,-0.28110444324911277,-0.012534791326623336,0.3410067948127455,1.1349882345618412e-125,0.0016162411818568113,3.669107024538207e-05,0.5034901270750527
'ENSG00000233928',5.407547272984488,0.15017433995829568,0.012367271803132936,0.16145371502133918,1.6766403187755732e-98,0.19762354707310026,0.0018499153935019944,0.5255094553847763
'ENSG00000181626',5.185355103395408,0.24234373192948408,0.024150206488226605,0.0367021170065436,3.176113034576169e-72,0.14229196930943283,1.8538005111026322e-05,0.6340847349270028
'ENSG00000113558',9.494026411063873,-0.014507253228050302,-0.013765272656137247,0.3788255150741543,2.587563916899228e-290,0.8749504178612618,1.1659059095877788e-05,0.5013219235837222
'ENSG00000081818',6.052900241957774,-0.16006571914975976,-0.010325913349787365,0.4283062363693982,5.815929476542961e-93,0.11031995446376892,0.002492686697754901,0.49901793365113145
'ENSG00000104369',5.626188357832728,0.31076509397317864,0.01127128789640086,0.14955515800990116,8.085733151030479e-186,0.000514316905487054,0.0002188619822371373,0.5286033448477172
'ENSG00000124562',-1.3150474123098483e-16,-0.3084872835040156,-0.012395364771996362,0.0,1.0,0.0025436435670430644,0.0003684486403801423,nan
'ENSG00000148429',-1.0705840786290718e-16,-0.2507741706085437,-0.013704090796796629,0.0,1.0,0.006642302099135959,1.3225193569783645e-05,nan
'ENSG00000116288',-2.593677992387462e-16,-0.6088034651057522,-0.02078127726456604,0.0,1.0,0.0006465384103420275,0.0006263631348229798,nan
'ENSG00000118816',9.826529057474717,-0.16793437054610408,-0.015874061255468707,0.22435855117894227,0.0,0.1090517879777717,8.755835514238248e-06,0.5139732848622713
'ENSG00000152082',-6.24147352214916e-17,-0.14570479302458206,-0.012880344241352575,0.0,1.0,0.05895335625223749,9.42710576726889e-07,nan
'ENSG00000184076',-1.3822146474474896e-16,-0.3237206034078256,-0.018187092200559224,0.0,1.0,0.003346558094287112,1.290694657446961e-06,nan
'ENSG00000144134',5.893480688638571,0.12396789105522557,0.010922316781120208,0.004024569531930238,0.0,0.05020588969269173,5.141634208094796e-07,0.9063071577656621
'ENSG00000155368',-7.04109379010325e-17,-0.1638014848236994,-0.020154608627517123,0.0,1.0,0.22869272964599663,1.3613651144655435e-05,nan
'ENSG00000139970',-1.115437997129446e-16,-0.2609623054950616,-0.01741980476101435,0.0,1.0,0.03637458130788382,4.0821417923623064e-05,nan
'ENSG00000147586',4.971331444197926,-0.012826982181915933,-0.008981971998757872,0.2376662900023025,2.2849118181300374e-138,0.8747372833619181,0.0011950426033034204,0.5123110048411567
'ENSG00000175606',-1.7915911873834598e-16,-0.42012651604392653,-0.018363498483723532,0.0,1.0,3.0212738509254487e-05,8.527727452921612e-08,nan
'ENSG00000157617',4.555050103704674e-17,0.10531088226272117,0.019511321959525575,0.0,1.0,0.313576889577722,4.167269322408736e-08,nan
'ENSG00000182197',6.761611029173582,0.1690980021949394,-0.007430814228138036,0.23931213113236177,0.0,0.008198915007755605,0.0006496895402094459,0.5121179207986977
'ENSG00000171759',5.575396687085722,-0.14646928923348426,-0.011864167584036547,0.08571329337474562,7.805305680599178e-160,0.1702503393616691,0.0011240946395353623,0.5591214031004412
'ENSG00000112038',5.594398732353355,0.23102519225731027,0.014259383797540737,0.795487248446001,7.666823333620276e-39,0.043689824667394725,0.00025643874269023294,0.4910619022054554
'ENSG00000082482',5.355626377599789,-0.012106496754334544,-0.013484401541133992,0.08822994883598907,3.3719859596914805e-147,0.9094532216041246,0.0002034468448760348,0.557201090037889
'ENSG00000168081',7.3461918492155895,-0.5150137263848487,-0.02654322445148378,0.10881635700439438,6.796152923410645e-135,0.00045812382756476076,1.1746207816373228e-07,0.5444786981528937
'ENSG00000167552',9.640376197268584,-0.1353632090713335,-0.014989307610070444,0.368690098318398,8.025899841543085e-211,0.22274514579892823,7.380230082207828e-05,0.5018643493986754
'ENSG00000196668',5.393343683310178,0.21838368626658494,0.017457146373455426,0.22145081527558588,2.4625053629070237e-93,0.04720530388667373,3.225655360936347e-06,0.5143627728231748
'ENSG00000182916',8.747858080622951,-0.15483330201465165,-0.024389735440237672,0.23354260625878745,3.1063956869687008e-130,0.2967695197926329,1.4067368606924085e-06,0.5128062899343113
'ENSG00000259709',4.0534262645752595,0.25435061606413284,0.013188857510222357,0.040673150174262235,2.3060907407334632e-98,0.019880003079482806,0.00040545618660595514,0.6230166944746096
'ENSG00000272455',4.4974081726722215,-0.03491369120604129,0.008026307783457538,0.0062391406276172305,0.0,0.6130121464168643,0.0006859235388816498,0.8426200446702641
'ENSG00000080824',6.235507121995886e-17,0.1481042352531002,-0.012175290242649366,0.0,1.0,0.14892602526748017,0.0004924474735341438,nan
'ENSG00000058668',7.99538518981514,-0.08223058398297457,0.009831292344028016,0.006524775677247626,0.0,0.30079068313568436,0.00030487953509006967,0.8428428022586207
'ENSG00000183826',6.627727000960828,-0.12000187494233625,0.009388414577798855,0.39257394282928704,2.0089661056945594e-161,0.16043467905609865,0.0012645313910270807,0.5006269890636574
'ENSG00000228340',5.279954346694344,-0.12268218342638347,0.020342693937957214,0.15755967522042033,4.314502981082337e-69,0.3714461283828402,1.3697450987692186e-05,0.5264867267427663
'ENSG00000277449',4.974687941682492,0.36483781982727065,0.010168663240297795,0.07185129299283456,2.3634047333094645e-189,4.932910439491235e-05,0.0009115048074150163,0.5717162256898789
'ENSG00000265775',5.5562219729429945,0.04815781132128113,0.020718945957349768,0.22839510163039045,1.7193710620335696e-59,0.7337741758398859,1.7489297318155042e-05,0.5134489723242555
'ENSG00000188783',4.180613717344187,0.11215859419606523,0.009463340910567379,0.020175710096606365,1.1276334652038742e-283,0.10503253370704044,6.341045287822099e-05,0.7067694851730131
