gene,coef_Intercept,coef_diagnosis,coef_age,coef_Treatment_Var,pval_Intercept,pval_diagnosis,pval_age,pval_Treatment_Var
'ENSG00000106404',4.78213609536997,0.1705862922158844,0.014886030212152642,0.17153049016232158,3.460268568556857e-80,0.13054131762938073,0.00010804263028744431,0.5231314228354715
'ENSG00000150337',5.275403752321304,-0.07089024550948317,-0.011531625705759297,0.20790986813950033,1.2558509177027851e-108,0.484401921584373,0.0008429871189802266,0.5163216272819787
'ENSG00000057657',5.667085358051142,-0.10161946673977951,-0.015504578838051397,0.02514646070222455,2.774661667336422e-161,0.40959255427878505,0.00023204049456840623,0.6786384937455547
'ENSG00000141506',5.978545024106995,-0.27333399036346023,-0.015942789402357296,0.0945980538407845,5.359000809527711e-108,0.046701424511838986,0.0006679913497766259,0.5528344750121602
'ENSG00000071082',9.349948898086632,-0.3605303140917608,-0.01917556079969187,0.07398229616901651,0.0,0.004902899890544292,1.1492192238426496e-05,0.5695994693530619
'ENSG00000273344',5.9101500738831945,0.08513470032634622,0.011408928738091078,0.03024446379933648,1.1167704381494635e-274,0.3801777433213316,0.0005765468459574606,0.6561587711426408
'ENSG00000142583',8.447167186500163,-0.4665766197870486,-0.023913413073441952,0.294766370386315,3.0759926076349254e-53,0.027160388592386404,0.0008880389734070143,0.5064635079891218
'ENSG00000226581',4.335573367788683,0.21010678972132396,0.012967181703618264,0.031205985609254992,2.5265123143765856e-146,0.03135530559047224,0.00010069477989355628,0.6524570846882716
'ENSG00000137752',6.23005509573452,-0.31700354542181297,-0.02439365379615119,0.013616676076912967,8.234170180362725e-101,0.07328176283628157,5.645940936439344e-05,0.758568081995819
'ENSG00000197943',6.7290200131777596,-0.32488667968275087,-0.024502835522771285,0.018102121846740007,1.1511046489446903e-117,0.06296409116073112,4.1259269588339214e-05,0.7209856141435913
'ENSG00000181631',7.953531516018713,-0.4545401019457635,-0.024274444272660962,0.035483757557706636,1.2018089423380858e-118,0.021149155959190532,0.00031226712580548606,0.6378150545811527
'ENSG00000114013',-1.4304540962884744e-16,-0.33475434853038527,-0.021427447910714457,0.0,1.0,0.05848138723907367,0.0003751062486935537,nan
'ENSG00000277831',1.0910941803085105e-16,0.255557806456004,0.014170443045391562,0.0,1.0,0.026426385448035786,0.00030015796725308444,nan
'ENSG00000234056',4.96062482135723,-0.05227782513684366,0.02264538723961731,0.16511307829118005,1.3177463951892245e-46,0.7379834052740539,2.1170890917796435e-05,0.5246187016492787
'ENSG00000116604',5.983647829696256,0.10113737807136164,0.012765796034240813,0.13639933805266027,1.0614617605954816e-131,0.3819161905493107,0.0012035957850776173,0.5329011146164846
'ENSG00000255503',4.406964081309459,-0.13729799789272157,0.015561893627431211,0.019236192623782844,1.9955068092257053e-146,0.17877491254126388,8.336351596586228e-06,0.7129918057891182
'ENSG00000132773',6.137189557144332,-0.4232405399236907,-0.01498388826760343,0.034908345898128926,1.6722284510168044e-201,0.00027976003596535856,0.0001656676176852692,0.6396416961654665
'ENSG00000185950',7.186483690317416,0.092447388087865,0.015264434233331244,0.04698331568759724,0.0,0.36593664067712606,1.2227289296470238e-05,0.6084425177186628
'ENSG00000150782',-2.256023141792316e-16,-0.5291981449090866,-0.021518346220756438,0.0,1.0,0.0020075939774610186,0.00022500590482340624,nan
'ENSG00000268205',8.332812288101234,0.09157647992608178,0.010561976520016916,0.31868191107603294,2.32018801952734e-310,0.2691809057224316,0.0001832201940311728,0.504662242019019
'ENSG00000226742',6.844529125566293,-0.1438891224072049,-0.014261166417995894,0.021757932199233842,2.6722008170713792e-284,0.2017631694555867,0.00021493763464884474,0.6969740091956047
'ENSG00000260912',3.9187803012995532,0.2867207478553563,0.02318184743374195,0.007358595366387508,3.2491346590725702e-52,0.0702886944540288,1.9836899349908413e-05,0.8460580693631953
'ENSG00000179715',5.876338845933177,-0.36930344730032766,-0.017136518738222393,0.059527212111214214,4.677967458742538e-195,0.0005785565099019053,2.8635889574293085e-06,0.5868043024964154
'ENSG00000154309',1.0016789282382964e-16,0.23825918550430294,-0.02294071600927997,0.0,1.0,0.07588036560440901,5.173188942764691e-07,nan
'ENSG00000205542',-3.6572190067432773e-16,-0.8583034189794364,-0.030690547993062204,0.0,1.0,7.136123043429361e-06,2.4182414298243124e-06,nan
'ENSG00000274253',5.798680515212059,-0.13226909540236512,0.01765337615204858,0.2756765988607673,1.7905145277705535e-90,0.2406287628535586,4.283742920497076e-06,0.5081153817139799
'ENSG00000218283',5.913739646061857,-0.12757985833797783,-0.01520924226802934,0.047237259200238815,3.980177423066369e-285,0.16363023394698661,1.1440417081230509e-06,0.6079172902829559
'ENSG00000162408',6.337223416543827,0.04476729490501368,0.01103291938807809,0.0061957176898919,0.0,0.6065160155358211,0.00021002937834841285,0.8426261843097687
'ENSG00000181929',-7.214261277456623e-17,-0.16867751308506765,-0.012289887259729545,0.0,1.0,0.09121197167603108,0.00030107479761228603,nan
'ENSG00000020129',8.648322606912405,0.0390363685565208,0.01779131873864956,0.0785030997664641,2.8118867359138067e-236,0.7771032500296782,0.00015488868272509095,0.5652034406029804
'ENSG00000274422',8.322248908952616,0.5884818272045153,0.025836687726750792,0.23197599985929798,6.73293560603352e-53,0.00871640303752749,0.0007247679466084877,0.5129989291446932
'ENSG00000148935',5.234957306868415,-0.2341737540252953,0.012654286564311886,0.230285003600413,3.761962516690349e-88,0.03132301967436961,0.0006385231858295924,0.5132097386400973
'ENSG00000180530',7.580953062370739,-0.37887442901965745,-0.018693276872343262,0.06290006317482923,0.0,0.00021440144109500958,8.647330416224524e-08,0.5797686846157524
'ENSG00000156261',8.255689726490049,-0.2575120352472715,-0.017002070365556884,0.035467148403989714,0.0,0.03294398198142725,3.7365092247183605e-05,0.6378818248797455
'ENSG00000204482',-5.87492349729938e-17,-0.13640167282007437,-0.019484332987159413,0.0,1.0,0.3887542555474416,0.0002993226743835714,nan
'ENSG00000288049',2.0260109774552256e-17,0.04946767140764058,-0.017237096934646912,0.0,1.0,0.7063826510418949,0.00011556960123956194,nan
'ENSG00000124508',8.423952720453119e-17,0.19965110154335086,-0.012181426994375175,0.0,1.0,0.03924421583358812,0.00022045690690145755,nan
'ENSG00000120738',8.244771813788095,-0.8325117681409118,-0.027405067820489536,0.11191877439476063,4.764848609018514e-125,1.0447765871457386e-06,2.415916431194623e-06,0.5429164835231237
'ENSG00000170315',-2.3753522163148883e-16,-0.5570135639702347,-0.02439021694679053,0.0,1.0,0.005620585808156828,0.0003691655114195202,nan
'ENSG00000136144',7.306384911156984,0.2588349177449355,0.012784295540139169,0.5686491076756357,3.4117107334825884e-83,0.02479630419031882,0.0011333946243216398,0.49471582317288754
'ENSG00000259330',-3.8280557145116464e-17,-0.08857426868339222,-0.015694951825614655,0.0,1.0,0.48307173608165555,0.00026215629314281394,nan
