,baseMean_Diagnosis,log2FoldChange_Diagnosis,lfcSE_Diagnosis,stat_Diagnosis,pvalue_Diagnosis,padj_Diagnosis,baseMean_Age,log2FoldChange_Age,lfcSE_Age,stat_Age,pvalue_Age,padj_Age,log2(Schizophrenia/Control) quantiles,log2(Old/Young) quantiles
ENSG00000002330,527.9377416632743,-0.15402477383094143,0.02694341016186415,-5.716602794732677,1.086747399597902e-08,6.976402784817528e-07,527.9377416632743,-0.17177937991696077,0.029785305239986813,-5.767252627861161,8.057422668261343e-09,8.902983593622488e-07,Q2,Q2
ENSG00000003989,877.9810468494223,0.2449281835921731,0.04878996320947124,5.020052639527857,5.165732167705043e-07,1.0648019506207627e-05,877.9810468494223,0.24034706675977785,0.054078396311865215,4.444419271860764,8.81295913012718e-06,0.00018146293420158942,Q6,Q6
ENSG00000006128,256.3515272562066,-0.22912401204428265,0.05373910202757753,-4.263636782146119,2.0112628561465704e-05,0.00016885561488006734,256.3515272562066,-0.18261299668184858,0.05947736849298916,-3.0702938160987054,0.0021384828225005717,0.01075051485920749,Q1,Q2
ENSG00000007062,92.99211651794982,-0.1450714980122755,0.030881216589794425,-4.697726127157131,2.6307385758480192e-06,3.5159765565394946e-05,92.99211651794982,-0.1809970106683043,0.03387316859678539,-5.343374067623575,9.123221932017077e-08,5.8975113203396105e-06,Q2,Q2
ENSG00000009724,8.960403274541513,0.3599275992559606,0.15651008555291665,2.2997086608470845,0.02146473112473388,0.04734647342450875,8.960403274541513,0.5674989780015881,0.1738988964576227,3.2633845847312872,0.0011009001468717768,0.006593951242136186,Q8,Q8
ENSG00000010319,106.0490225053698,-0.2992840824757891,0.0471070071681171,-6.353281612811736,2.1076934156008328e-10,5.036184777823776e-08,106.0490225053698,-0.21730374741642225,0.051959810597508184,-4.182150491265328,2.8876472070880304e-05,0.00043280548241883294,Q1,Q1
ENSG00000010438,176.55321496069266,-0.19803833851461713,0.03858377362246791,-5.132684543828456,2.856384299047036e-07,6.95077895049794e-06,176.55321496069266,-0.1421123235502966,0.042608397540695,-3.335312561674399,0.0008520357203417051,0.00543445280806997,Q1,Q2
ENSG00000012124,218.6783795413403,0.19387522433298485,0.0634299042777691,3.0565271466274972,0.0022391720342130298,0.0073257814615628565,218.6783795413403,0.26870990879272083,0.07029754982466838,3.822464786652164,0.0001321243510746582,0.0013472066711155187,Q5,Q7
ENSG00000019186,13.64523659561533,-0.28995648131755003,0.07680430726618827,-3.7752632845527696,0.00015983874946952687,0.0008639748104858811,13.64523659561533,-0.29587568219761,0.08390323002219777,-3.5263920366275765,0.00042126288175224494,0.0032088581433673004,Q1,Q1
ENSG00000023839,10.810726539643756,0.1794554887841117,0.052283125650972734,3.4323787369199277,0.0005983113783123227,0.002484358257554226,10.810726539643756,0.23935656836127656,0.057819736981948484,4.139703513974899,3.4775497415364694e-05,0.0004976719340203358,Q4,Q6
ENSG00000030419,506.8786259164357,0.15372894042191743,0.03754520939970731,4.0945021450091,4.2307649722394226e-05,0.00030399126010363035,506.8786259164357,0.16252562009751326,0.04159681932932048,3.9071646033992153,9.338553815090065e-05,0.0010354680003254765,Q3,Q4
ENSG00000034063,37.14855470268337,0.17407883118227194,0.06225751600247272,2.7961094878144177,0.0051721875123870555,0.014643010607877765,37.14855470268337,0.23530928812492669,0.06893758882602731,3.413366961800177,0.0006416547835878328,0.004410361360610041,Q4,Q6
ENSG00000047457,410.0471049820956,0.5257351228225637,0.1017536600164187,5.166744102745125,2.3820703971886862e-07,6.126014600618536e-06,410.0471049820956,0.4541992727539419,0.11280410675599395,4.026442705108408,5.662702939835648e-05,0.00072082832800788,Q8,Q8
ENSG00000047936,312.33716183404545,0.16539027381760482,0.04559875031563733,3.62707909038654,0.0002866455127955245,0.0013869453066713724,312.33716183404545,0.3758266521707765,0.0505466625953394,7.435241673214428,1.0437695660801568e-13,1.1020467001862988e-10,Q3,Q7
ENSG00000049283,33.9243539224107,0.1384042007383329,0.05488795218558729,2.521577053382502,0.011683008515914606,0.028701599902398796,33.9243539224107,0.21695357645815253,0.06073399348214778,3.572193495261004,0.0003540036904391292,0.002823264849683445,Q3,Q6
ENSG00000051341,52.55254662175401,0.2659496215742292,0.04212048809115407,6.31402041207786,2.7187805491210003e-10,5.554678929992236e-08,52.55254662175401,0.22498041408338648,0.046636550665890224,4.82412208602589,1.4062126774898308e-06,4.491608728688106e-05,Q7,Q6
ENSG00000055732,13.881208671810437,0.33625756723326927,0.0642888761531075,5.230416012133318,1.6912900292505576e-07,4.907323207008679e-06,13.881208671810437,0.31033399893622404,0.07136842717950309,4.348337369908461,1.3717348076285545e-05,0.00025067134633635266,Q7,Q7
ENSG00000062096,30.736073607189592,-0.16780044122137608,0.04428488634095296,-3.7891130605928796,0.00015118609943415523,0.0008263709576491573,30.736073607189592,-0.16401169124867834,0.04837033077698699,-3.39074983805382,0.0006970169206001967,0.004693914643994792,Q2,Q2
ENSG00000063180,2936.7561423440375,-0.21339882126130963,0.031864957109378825,-6.696975003882867,2.127779994139688e-11,1.1232905219062435e-08,2936.7561423440375,-0.1800143199609219,0.035308912716242966,-5.09826857053321,3.4277426603817457e-07,1.6084999817421007e-05,Q1,Q2
ENSG00000064205,15.026680844914118,0.19133831495914222,0.06216802992507013,3.077760630178541,0.0020856237013148564,0.006906652455739475,15.026680844914118,0.18838523602042181,0.06870429084278235,2.741971916302989,0.006107156287319814,0.023701553040741893,Q4,Q5
ENSG00000072954,532.7701293693015,-0.1561243630720567,0.024089471288067925,-6.481020741596298,9.110414529685113e-11,2.9346343751977216e-08,532.7701293693015,-0.16945199472672473,0.026614533899517914,-6.36689695060916,1.9289067332401e-10,5.0531453876381567e-08,Q2,Q2
ENSG00000074966,14.613493887711943,0.2522945283827254,0.04997980627742215,5.047929297330967,4.466243593249747e-07,9.55938626859419e-06,14.613493887711943,0.20436275832439205,0.0552435944557518,3.6993023415244917,0.00021619293566025718,0.001955614822571722,Q6,Q5
