gene,coef_Intercept,coef_diagnosis,coef_age,coef_Hemisphere_Var,pval_Intercept,pval_diagnosis,pval_age,pval_Hemisphere_Var
'ENCODE_ID_11123',1.1308303780810646e-17,-0.0376413389465457,-0.011079597054762648,0.0,nan,0.8377834825246157,0.04141150372283894,nan
'ENCODE_ID_81629',3.522544808972531e-17,-0.12105147624033943,0.008852464210076976,0.0,nan,0.4062732882350455,0.03984875254975383,nan
'ENCODE_ID_79654',2.1710984248470512e-16,-0.7399168033532401,-0.01595221312135099,0.0,nan,8.779368359227891e-05,0.004214737744136333,nan
'ENCODE_ID_10459',1.2328360999853432e-16,-0.41955326682510646,-0.01591909038306727,0.0,nan,0.01841123530627373,0.002470902675111176,nan
'ENCODE_ID_6491',6.086459390859793,-0.03451017192260026,-0.01032107712665933,0.24534466795112045,1.7035501123256714e-67,0.8362445915855096,0.03702023487544598,0.5518037293113326
'ENCODE_ID_6202',6.879590940448195,-0.3403427859170851,-0.014959703936051736,6.799442328535136e-07,2.5894315016185553e-108,0.06631332189525363,0.005233404213164094,nan
'ENCODE_ID_6007',4.905067332773171,0.08444637287389505,0.016253936608782295,1.4733300852126784e-06,1.8641828071124176e-44,0.6882153988238564,0.006726431537259312,nan
'ENCODE_ID_22887',9.41867591786782,-0.0766219217897633,-0.010680872345318844,0.021148110618589254,0.0,0.5510536842165398,0.005475176222914738,0.8076182025384195
'ENCODE_ID_3925',9.571426145760213,0.15218387906166334,-0.009309883275990314,0.022621765845875132,1.1122068700731659e-272,0.3255956476520022,0.04482563588444388,0.8146486458611145
'ENCODE_ID_84301',8.57649849884794,-0.0766521545085814,-0.005999821628773609,1.3708156183162274e-06,0.0,0.41442648515273717,0.02530857166685533,nan
'ENCODE_ID_101928836',4.627163264001444,-0.03944350282815248,0.0107136217178781,6.372509443250459e-07,1.5277193807360079e-68,0.8022108017234302,0.01866554117759867,nan
'ENCODE_ID_84251',-3.7491033754370134e-17,0.12869438066275227,-0.007792314161445057,0.0,nan,0.256826627551355,0.020149974692160046,nan
'ENCODE_ID_51058',6.556725396516728,-0.23415573443684293,-0.013362453483146044,1.1209006495789003e-06,1.077160836715446e-146,0.12345795755900386,0.002187021890914283,nan
'ENCODE_ID_11124',5.306613488787898e-17,-0.18039437881332382,-0.009111767774530693,0.0,nan,0.13524551962346465,0.010668803547778358,nan
'ENCODE_ID_8863',9.205666095968493,-0.3309668458202949,-0.011508622109654339,0.023245483868822456,1.4500393563442096e-293,0.020911431871795148,0.007432551902536296,0.8182470368592515
'ENCODE_ID_105378808',5.731407383836912,0.3462311340261303,0.013115689747926944,0.0611944495509767,8.023920535517663e-56,0.08455767788942722,0.028358293664347375,0.6813855575417869
'ENCODE_ID_54810',-4.829256054315297e-17,0.16393872607443138,0.010897880002815235,0.0,nan,0.3424468375089287,0.0327026886202026,nan
'ENCODE_ID_65108',6.040827741122925,-0.16800048733566939,-0.015704943987117255,1.7533606801348683e-06,1.6363712256257516e-81,0.3773908848399694,0.003529567587095238,nan
'ENCODE_ID_6146',7.123257857776615,0.04930271554124481,-0.009135630101169996,6.173059874511289e-07,1.2285249784886038e-199,0.7259778183597765,0.024802201048793875,nan
'ENCODE_ID_7804',9.359544329453232,-0.30863582677879087,-0.010090365339887296,7.256692424275243e-07,0.0,0.02415567221967268,0.010712417499757106,nan
'ENCODE_ID_101927139',3.431510883141105e-17,-0.11616384499028368,-0.011461336984712248,0.0,nan,0.5268607483688181,0.03460279524769818,nan
'ENCODE_ID_3652',5.725062275058155,-0.1844709887523021,0.008398720636267244,1.386693633057109e-06,5.995402880977332e-188,0.11606159431347586,0.012212393279817258,nan
